DF,Localização,Qnt  Escolas,Qnt  Visitas,Total de alunos
RA I,PLANO PILOTO,52,68,3136
RA II,GAMA,5,7,338
RA III,TAGUATINGA,21,31,1565
RA IV,BRAZLANDIA,5,8,440
RA IX,CEILÂNDIA,19,28,3295
RA V,SOBRADINHO,15,28,1864
RA VI,PLANALTINA,7,9,534
RA VII,PARANOÁ,10,20,1374
RA VIII,BANDEIRANTE,3,3,116
RA X,GUARÁ,10,22,1431
RA XI,CRUZEIRO,0,0,0
RA XII,SAMAMBAIA,7,11,644
RA XIII,SANTA MARIA,8,12,676
RA XIV,SÃO SEBASTIÃO,8,3,184
RA XIX,CANDANGOLÂNDIA,0,0,0
RA XV,RECANTO DAS EMAS,5,9,478
RA XVI,LAGO SUL,3,5,292
RA XVII,RIACHO FUNDO 1,3,4,215
RA XVIII,LAGO NORTE,2,2,80
RA XX,ÁGUAS CLARAS,3,5,250
RA XXI,RIACHO FUNDO 2,0,0,0
RA XXII,SUDOESTE,5,7,378
RA XXIII,VARJÃO,2,2,25
RA XXIV,PARK WAY,3,3,142
RA XXIX,SETOR DE INDUSTRIAS,1,1,56
RA XXV,ESTRUTURAL,5,11,693
RA XXVI,SOBRADINHO II,0,0,0
RA XXVII,JARDIM BOTÂNICO,2,2,90
RA XXVIII,ITAPOÃ,2,4,190
RA XXX,VICENTE PIRES,0,0,0
RA XXXI,FERCAL,0,0,0
RA XXXII,SOL NASCENTE,0,0,0
RA XXXIII,ARNIQUEIRAS,0,0,0
RA XXXIV,ARAPONGA,1,2,101
RA XXXV,ÁGUA QUENTE,0,0,0
